Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
9/3/2013,74.83,75.25,73.68,73.9,7802800,0.39,1,64.26319561,64.62388707,63.27558803,63.46452166,7802800
9/4/2013,73.98,74.51,73.74,74.14,8271600,0,1,63.53322479,63.98838307,63.32711538,63.67063106,8271600
9/5/2013,74.07,74.21,72.84,72.99,11039000,0,1,63.61051582,63.73074631,62.55420511,62.68302349,11039000
9/6/2013,73.55,73.56,72.21,72.7,9968400,0,1,63.16394544,63.17253333,62.01316791,62.43397462,9968400
9/9/2013,72.98,73.79,72.9,73.58,5781800,0,1,62.67443559,63.37005484,62.60573246,63.18970911,5781800
9/10/2013,73.96,74.65,73.7413,74.6,6438700,0,1,63.51604901,64.10861355,63.32823181,64.06567409,6438700
9/11/2013,74.66,75.11,74.16,75.04,6441500,0,1,64.11720144,64.50365658,63.68780685,64.44354134,6441500
9/12/2013,75.18,75.74,74.97,75.4,6872200,0,1,64.56377183,65.04469378,64.3834261,64.75270545,6872200
9/13/2013,75.33,75.41,74.84,75.11,4888400,0,1,64.69259021,64.76129334,64.2717835,64.50365658,4888400
9/16/2013,76.05,76.29,75.2,75.54,8054400,0,1,65.31091843,65.51702784,64.58094761,64.87293594,8054400
9/17/2013,75.64,76.15,75.57,75.8,6825600,0,1,64.95881486,65.39679735,64.89869961,65.09622113,6825600
9/18/2013,75.77,77.98,75.35,77.37,10594300,0,1,65.07045745,66.96838158,64.70976599,66.44452017,10594300
9/19/2013,77.84,78.72,77.64,78.51,7693700,0,1,66.84815109,67.60388558,66.67639325,67.42353985,7693700
9/20/2013,78.81,78.81,77,77,14158300,0,1,67.68117661,67.68117661,66.12676817,66.12676817,14158300
9/23/2013,76.46,76.76,75.765,75.91,6248800,0,1,65.663022,65.92065876,65.06616351,65.19068794,6248800
9/24/2013,75.8,76.79,75.58,76.04,5412700,0,1,65.09622113,65.94642243,64.90728751,65.30233054,5412700
9/25/2013,75.88,76.31,75.26,75.52,6785600,0,1,65.16492427,65.53420362,64.63247496,64.85576015,6785600
9/26/2013,75.62,76.42,75.62,76.07,3798200,0,1,64.94163907,65.62867043,64.94163907,65.32809421,3798200
9/27/2013,75.65,76.094,75.38,75.96,4058700,0,1,64.96740275,65.34870515,64.73552967,65.2336274,4058700
9/30/2013,75.18,76.08,74.96,75.85,6276200,0,1,64.56377183,65.3366821,64.3748382,65.13916059,6276200
10/1/2013,75.88,76.42,75.64,76.26,4411700,0,1,65.16492427,65.62867043,64.95881486,65.49126416,4411700
10/2/2013,75.86,76.38,75.44,76.32,5118400,0,1,65.14774848,65.59431886,64.78705702,65.54279151,5118400
10/3/2013,76.4,76.83,75.51,75.88,6979700,0,1,65.61149465,65.980774,64.84717226,65.16492427,6979700
10/4/2013,75.8,76.245,75.48,75.78,4855800,0,1,65.09622113,65.47838232,64.82140859,65.07904535,4855800
